Order_ID,Order_Date,Customer_ID,Customer_Name,City,Category,Product,Quantity,Unit_Price,Sales,Month
ORD083,2026-03-06,CUST004,Sneha Kulkarni,Nagpur,Stationery,Notebook,4,120,480,2026-03
ORD084,2026-04-02,CUST019,Kunal More,Nashik,Electronics,Printer,3,15000,45000,2026-04
ORD085,2026-03-27,CUST002,Priya Patil,Mumbai,Electronics,Printer,3,15000,45000,2026-03
ORD086,2026-03-11,CUST017,Pranav Patil,Mumbai,Accessories,Keyboard,2,1500,3000,2026-03
ORD087,2026-02-22,CUST005,Aditya Deshmukh,Nagpur,Electronics,Laptop,4,55000,220000,2026-02
ORD088,2026-04-13,CUST012,Snehal More,Nagpur,Home Appliances,Iron,1,1800,1800,2026-04
ORD089,2026-04-26,CUST006,Neha Shah,Mumbai,Stationery,Notebook,4,120,480,2026-04
ORD090,2026-01-13,CUST008,Pooja Pawar,Nashik,Accessories,Keyboard,4,1500,6000,2026-01
ORD091,2026-05-25,CUST010,Kajal Patil,Mumbai,Stationery,Calculator,3,500,1500,2026-05
ORD092,2026-03-03,CUST005,Aditya Deshmukh,Pune,Electronics,Speaker,1,5000,5000,2026-03
ORD093,2026-02-27,CUST012,Snehal More,Nashik,Accessories,Mouse,1,800,800,2026-02
ORD094,2026-05-06,CUST001,Aarav Sharma,Pune,Electronics,Mobile,4,25000,100000,2026-05
ORD095,2026-05-09,CUST008,Pooja Pawar,Aurangabad,Stationery,Notebook,1,120,120,2026-05
ORD096,2026-04-03,CUST007,Rohan More,Mumbai,Accessories,Mouse,2,800,1600,2026-04
ORD097,2026-06-28,CUST012,Snehal More,Aurangabad,Electronics,Speaker,4,5000,20000,2026-06
ORD098,2026-02-16,CUST014,Anjali Thakur,Pune,Home Appliances,Iron,1,1800,1800,2026-02
ORD099,2026-05-24,CUST014,Anjali Thakur,Nashik,Stationery,Calculator,4,500,2000,2026-05
ORD100,2026-04-10,CUST016,Nikita Joshi,Pune,Accessories,Mouse,3,800,2400,2026-04
ORD101,2026-01-10,CUST005,Aditya Deshmukh,Aurangabad,Electronics,Printer,2,15000,30000,2026-01
ORD102,2026-05-18,CUST004,Sneha Kulkarni,Nashik,Electronics,Mobile,4,25000,100000,2026-05
ORD103,2026-01-01,CUST019,Kunal More,Aurangabad,Electronics,Speaker,4,5000,20000,2026-01
ORD104,2026-01-24,CUST013,Vishal Shinde,Nashik,Accessories,Keyboard,4,1500,6000,2026-01
ORD105,2026-06-09,CUST017,Pranav Patil,Mumbai,Home Appliances,Iron,4,1800,7200,2026-06
ORD106,2026-06-27,CUST020,Mansi Shah,Mumbai,Accessories,Webcam,4,3000,12000,2026-06
ORD107,2026-06-28,CUST001,Aarav Sharma,Mumbai,Electronics,Laptop,1,55000,55000,2026-06
ORD108,2026-03-06,CUST005,Aditya Deshmukh,Pune,Home Appliances,Iron,3,1800,5400,2026-03
ORD109,2026-02-13,CUST008,Pooja Pawar,Aurangabad,Electronics,Speaker,3,5000,15000,2026-02
ORD110,2026-02-15,CUST013,Vishal Shinde,Nashik,Home Appliances,Iron,3,1800,5400,2026-02
ORD111,2026-03-22,CUST019,Kunal More,Nashik,Electronics,Mobile,3,25000,75000,2026-03
ORD112,2026-03-31,CUST008,Pooja Pawar,Nashik,Stationery,Notebook,2,120,240,2026-03
ORD113,2026-02-27,CUST019,Kunal More,Aurangabad,Electronics,Tablet,3,22000,66000,2026-02
ORD114,2026-06-06,CUST018,Riya Deshmukh,Nagpur,Stationery,Notebook,3,120,360,2026-06
ORD115,2026-06-01,CUST004,Sneha Kulkarni,Mumbai,Electronics,Speaker,1,5000,5000,2026-06
ORD116,2026-02-05,CUST017,Pranav Patil,Nashik,Accessories,Headphones,4,2000,8000,2026-02
ORD117,2026-06-01,CUST017,Pranav Patil,Aurangabad,Electronics,Printer,4,15000,60000,2026-06
ORD118,2026-01-13,CUST012,Snehal More,Pune,Electronics,Laptop,3,55000,165000,2026-01
ORD119,2026-01-17,CUST003,Rahul Joshi,Pune,Electronics,Tablet,2,22000,44000,2026-01
ORD120,2026-05-21,CUST020,Mansi Shah,Mumbai,Electronics,Tablet,2,22000,44000,2026-05
ORD121,2026-05-20,CUST019,Kunal More,Aurangabad,Electronics,Laptop,4,55000,220000,2026-05
ORD122,2026-01-09,CUST009,Sanket Jadhav,Nagpur,Accessories,Headphones,4,2000,8000,2026-01
ORD123,2026-04-21,CUST014,Anjali Thakur,Aurangabad,Accessories,Keyboard,3,1500,4500,2026-04
ORD124,2026-01-25,CUST005,Aditya Deshmukh,Nagpur,Accessories,Headphones,4,2000,8000,2026-01
ORD125,2026-05-24,CUST004,Sneha Kulkarni,Pune,Accessories,Mouse,3,800,2400,2026-05
ORD126,2026-02-11,CUST007,Rohan More,Nashik,Stationery,Notebook,1,120,120,2026-02
ORD127,2026-05-02,CUST007,Rohan More,Aurangabad,Stationery,Calculator,3,500,1500,2026-05
ORD128,2026-03-16,CUST003,Rahul Joshi,Nashik,Electronics,Printer,1,15000,15000,2026-03
ORD129,2026-03-15,CUST015,Akshay Pawar,Nashik,Home Appliances,Iron,1,1800,1800,2026-03
ORD130,2026-01-07,CUST012,Snehal More,Aurangabad,Electronics,Laptop,1,55000,55000,2026-01
ORD131,2026-06-27,CUST008,Pooja Pawar,Mumbai,Electronics,Speaker,1,5000,5000,2026-06
ORD132,2026-06-14,CUST002,Priya Patil,Mumbai,Accessories,Mouse,1,800,800,2026-06
ORD133,2026-03-27,CUST008,Pooja Pawar,Nagpur,Stationery,Notebook,1,120,120,2026-03
ORD134,2026-02-14,CUST017,Pranav Patil,Nagpur,Electronics,Printer,1,15000,15000,2026-02
ORD135,2026-06-08,CUST004,Sneha Kulkarni,Mumbai,Electronics,Monitor,4,12000,48000,2026-06
ORD136,2026-04-01,CUST012,Snehal More,Nashik,Electronics,Monitor,3,12000,36000,2026-04
ORD137,2026-06-22,CUST019,Kunal More,Aurangabad,Electronics,Printer,2,15000,30000,2026-06
ORD138,2026-02-27,CUST018,Riya Deshmukh,Nagpur,Home Appliances,Iron,2,1800,3600,2026-02
ORD139,2026-04-15,CUST008,Pooja Pawar,Pune,Stationery,Notebook,3,120,360,2026-04
ORD140,2026-04-23,CUST003,Rahul Joshi,Pune,Stationery,Notebook,4,120,480,2026-04
ORD141,2026-05-14,CUST001,Aarav Sharma,Nashik,Electronics,Monitor,1,12000,12000,2026-05
ORD142,2026-06-22,CUST012,Snehal More,Aurangabad,Stationery,Notebook,4,120,480,2026-06
ORD143,2026-04-28,CUST015,Akshay Pawar,Aurangabad,Accessories,Mouse,4,800,3200,2026-04
ORD144,2026-06-13,CUST011,Amit Chavan,Mumbai,Home Appliances,Iron,1,1800,1800,2026-06
ORD145,2026-05-26,CUST019,Kunal More,Pune,Accessories,Keyboard,1,1500,1500,2026-05
ORD146,2026-06-08,CUST017,Pranav Patil,Pune,Stationery,Calculator,3,500,1500,2026-06
ORD147,2026-01-12,CUST003,Rahul Joshi,Nashik,Electronics,Printer,1,15000,15000,2026-01
ORD148,2026-06-01,CUST016,Nikita Joshi,Nagpur,Accessories,Webcam,2,3000,6000,2026-06
ORD149,2026-06-13,CUST008,Pooja Pawar,Nashik,Electronics,Speaker,4,5000,20000,2026-06
ORD150,2026-06-27,CUST008,Pooja Pawar,Nagpur,Electronics,Speaker,4,5000,20000,2026-06
